Fund Name,Verified,Logo URL,Local Logo Path,LinkedIn,Website,Who we are,Value add,Firm type,Global HQ,Branch office #1,Branch office #2,Branch office #3,Branch office #4,Branch office #5,Funding requirements,Funding stages,Lead,Check Size Min,Check Size Max,Check size,Target countries,Team,Source Page,Profile URL,Twitter,Who I am,Application periodicity,Typical terms,Time to money,Typical fee
Israel - Colorado Innovation Fund,FALSE,./images/funds/recSvogNUaADlIRXd.jpg,logos/Israel__Colorado_Innovation_Fund.jpg,https://www.linkedin.com/company/25001562/,https://www.ici.fund/,We are supporting innovative companies in Israel.,,VC,"320 E. Vine Dr., 80524 Fort Collins, Colorado, Colorado, US

+
−
Leaflet",,,,,,"We invest in energy, transportation, and water.",2. Prototype; 3. Early Revenue; 4. Scaling,Sometimes,,,,Israel,,284,fund/Israel%20-%20Colorado%20Innovation%20Fund,,,,,,
Evli Growth Partners,FALSE,./images/funds/recmLiOz5D7zrWjXg.jpg,logos/Evli_Growth_Partners.jpg,https://www.linkedin.com/company/evli-growth-partners,https://egp.fi,We are a European venture capital firm that supports companies across diverse industries.,,VC,"Aleksanterinkatu 19, 00100 Helsinki, Southern Finland, FI

+
−
Leaflet",,,,,,We invest in various sectors.,4. Scaling; 5. Growth; 3. Early Revenue,Sometimes,,,,Austria; Finland; Germany; Lithuania; Poland; UK; USA,,284,fund/Evli%20Growth%20Partners,,,,,,
Bregal Sagemount,FALSE,./images/funds/rectKowruyTHrAbSi.jpg,logos/Bregal_Sagemount.jpg,https://www.linkedin.com/company/bregal-sagemount,http://sagemount.com,,,PE fund,"200 Park Avenue, 10166 New York, New York, New York, US

+
−
Leaflet",,,,,,"We invest in finance, investment, business, and fintech.",4. Scaling; 5. Growth; 3. Early Revenue,Sometimes,,,,Belgium; UK; USA,,284,fund/Bregal%20Sagemount,,,,,,
Alive Ideas,FALSE,./images/funds/recUMVtKEXwPSBymm.jpg,logos/Alive_Ideas.jpg,http://www.linkedin.com/company/3025272,http://www.aliveideas.fr,We are a team of French entrepreneurs dedicated to bringing new ideas to life.,,VC,"Paris, Ile-de-France, France",,,,,,"We invest in content, information services, and information technology.",3. Early Revenue,Never,,,,France; USA,,284,fund/Alive%20Ideas,,,,,,
Jabre Capital,FALSE,./images/funds/recN4Vf4gAXj0RAkW.jpg,logos/Jabre_Capital.jpg,https://www.linkedin.com/company/jabre-capital-partners/,https://www.jabcap.com,We are an asset management company.,,VC,"1 Rue des Moulins, 1204 Geneva, CH

+
−
Leaflet",,,,,,We invest in a variety of assets using multiple strategies.,3. Early Revenue; 4. Scaling,Never,,,,Finland; Switzerland; Netherlands; UK,,284,fund/Jabre%20Capital,,,,,,
HR TECH Partnership,FALSE,./images/funds/recNjEKXZJNkfyoyx.jpg,logos/HR_TECH_Partnership.jpg,https://www.linkedin.com/company/hrtechpartnership,http://www.hrtechpartnership.com/,We are an investment firm dedicated to the human resources technology sector.,,VC,"1 East Poultry Avenue, EC1A9 PT London, London, GB

+
−
Leaflet",,,,,,We invest in HR tech.,3. Early Revenue; 4. Scaling,Sometimes,,,,UK,,284,fund/HR%20TECH%20Partnership,,,,,,
Infinite Ventures,FALSE,./images/funds/rec7kqIovFVzhQ4eO.jpg,logos/Infinite_Ventures.jpg,https://www.linkedin.com/company/infinite-venture-partners/,https://www.infinite.vc,We are a holding company for various tech ventures.,,VC,"Ottawa, Ontario, Canada",,,,,,We invest in technology companies.,2. Prototype; 3. Early Revenue,Never,,,,Canada; USA,,284,fund/Infinite%20Ventures,,,,,,
Stand Together Ventures Lab,FALSE,./images/funds/rectroWh9pClUt9Gv.jpg,logos/Stand_Together_Ventures_Lab.jpg,https://www.linkedin.com/company/stventureslab/,https://stventureslab.com,We are a venture group supporting the creation and growth of new companies.,,VC,"22201 Arlington, VA, Virginia, US

+
−
Leaflet",,,,,,"We invest in originating, incubating, and funding new ventures.",2. Prototype; 3. Early Revenue; 4. Scaling,Sometimes,,,,USA,,285,fund/Stand%20Together%20Ventures%20Lab,,,,,,
Irelandia Aviation,FALSE,./images/funds/rec1k7IyMCknExTxw.jpg,logos/Irelandia_Aviation.jpg,https://www.linkedin.com/company/irelandia-aviation,http://www.irelandiaaviation.ie,"We initiate, develop, and deliver successful airline models in partnership with management teams and investors.",,VC,"Dublin, Dublin, Ireland",,,,,,"We invest in aviation, travel, and transportation, specifically focusing on low-cost carriers.",4. Scaling; 3. Early Revenue,Sometimes,,,,Colombia; Ireland; UK,,285,fund/Irelandia%20Aviation,,,,,,
Element 8,FALSE,./images/funds/recK7p6igTyfoeChl.jpg,logos/Element_8.jpg,https://www.linkedin.com/company/element-8-angels/,https://www.e8angels.com/,"We are an investment company that offers capital, guidance, and networking to portfolio companies.",,Angel network,"1809 7th Avenue, 98101 Seattle, WA, Washington, US

+
−
Leaflet",,,,,,We invest in early-stage cleantech companies.,3. Early Revenue; 4. Scaling,Sometimes,,,,Denmark; USA,,285,fund/Element%208,,,,,,
Big Issue Invest,FALSE,./images/funds/recriVcZfs1FcTU04.jpg,logos/Big_Issue_Invest.jpg,http://www.linkedin.com/company/big-issue-invest,http://www.bigissueinvest.com,We are a specialized provider of funding for charitable trading arms.,,Corporate VC,"113-115 Fonthill Road, London, N4 3HH, GB

+
−
Leaflet",,,,,,"We invest in social enterprises, providing finance for social good.",3. Early Revenue; 4. Scaling,Sometimes,,,,UK,,285,fund/Big%20Issue%20Invest,,,,,,
Virtual Force Inc.,FALSE,./images/funds/recuw4FgvpP6avFXl.jpg,logos/Virtual_Force_Inc.jpg,http://www.linkedin.com/company/virtual-force,http://www.virtualforce.io,We are a company that supports startups and engineering teams.,,"Incubator, Accelerator","48 Wall St, 10005 New York, New York, New York, US

+
−
Leaflet",,,,,,"We invest in companies that design, develop, and deliver products rapidly and with high quality, leveraging artificial intelligence, information technology, and internet solutions.",2. Prototype; 3. Early Revenue; 4. Scaling,,,,,Bahrain; Pakistan; Sweden,,285,fund/Virtual%20Force%20Inc.,,,,,,
CalSTRS,FALSE,./images/funds/recIVE7suRBFZf1go.jpg,logos/CalSTRS.jpg,http://www.linkedin.com/company/calstrs,http://www.calstrs.com,"We were established in 1913 to serve public school educators, from prekindergarten through community college.",,Public fund,"100 Waterfront Place, 95605 West Sacramento, CA, California, US

+
−
Leaflet",,,,,,We invest in retirement benefits for public school educators.,5. Growth; 6. Pre-IPO,Never,,,,USA,,285,fund/CalSTRS,,,,,,
JCE Group,FALSE,./images/funds/recFSJVaRFqxKrVxt.jpg,logos/JCE_Group.jpg,https://www.linkedin.com/company/jce-group,https://jce.se/,We are a privately owned international investment company.,,Family office,"Högåsplatsen 3, 40016 Gothenburg, SE

+
−
Leaflet",,,,,,"We invest in diversified sectors including industrial manufacturing, information technology, and professional services, with a focus on impact.",3. Early Revenue; 4. Scaling,Sometimes,,,,Sweden,,285,fund/JCE%20Group,,,,,,
Charlesbank Capital Partners,FALSE,./images/funds/recdwpsx6UcA2Yvjk.jpg,logos/Charlesbank_Capital_Partners.jpg,https://www.linkedin.com/company/charlesbank-capital-partners,http://charlesbank.com,We are a firm that focuses on providing capital to businesses.,,PE fund,"200 Clarendon Street, 54th Floor, 02116 Boston, MA, Massachusetts, US

+
−
Leaflet",,,,,,We invest in private companies.,4. Scaling; 5. Growth; 3. Early Revenue,Sometimes,,,,Israel; USA,,285,fund/Charlesbank%20Capital%20Partners,,,,,,
VSC Ventures,FALSE,./images/funds/rec9JKEdrqQ3lNuc1.jpg,logos/VSC_Ventures.jpg,https://www.linkedin.com/company/vsc-ventures,https://www.vscventures.com,We believe that effective storytelling is crucial for startups to achieve market success and stand out.,,VC,"San Francisco, CA, California, US",,,,,,We invest in companies with compelling narratives and strong potential for market differentiation.,3. Early Revenue; 4. Scaling,Never,,,,Germany; Israel; USA,,285,fund/VSC%20Ventures,,,,,,
Altair Capital,FALSE,./images/funds/rec04aARY5T9MKg0y.jpg,logos/Altair_Capital.jpg,https://www.linkedin.com/company/altair-capital-inc-,http://altair-capital.com,We are a financial services firm providing valuation and advisory services.,,VC,"500 4th Ave. SW Suite 2500 Calgary, Alberta T2P 2V6, Calgary, Alberta, Alberta, CA

+
−
Leaflet",,,,,,"We invest in financial services, offering advice and consulting.",3. Early Revenue; 4. Scaling,Sometimes,,,,Canada; Israel; Russia; Singapore; USA,,285,fund/Altair%20Capital,,,,,,
Enterprise 100,FALSE,./images/funds/recaKDmbCBY1eALuN.jpg,logos/Enterprise_100.jpg,https://www.linkedin.com/company/enterprise-100-ltd,http://www.enterprise100.co.uk,We are an angel network associated with the London Business School.,,Angel network,"London, GB",,,,,,We invest in fintech and other promising ventures.,3. Early Revenue; 4. Scaling,Sometimes,,,,UK,,286,fund/Enterprise%20100,,,,,,
Broadscale,FALSE,./images/funds/reclfTS492RaqWjaw.jpg,logos/Broadscale.jpg,https://www.linkedin.com/company/broadscale-group-llc,http://www.broadscale.com,We partner with corporations and other strategic entities to identify and support promising innovations.,,VC,"430 Park Avenue, 10022 New York, New York, New York, US

+
−
Leaflet",,,,,,"We invest in and commercialize market-ready innovations, particularly in clean energy and renewable energy.",4. Scaling; 5. Growth; 3. Early Revenue,Sometimes,,,,Kenya; USA,,286,fund/Broadscale,,,,,,
MIG Capital,FALSE,./images/funds/recrmAjoPv6CQjoZr.jpg,logos/MIG_Capital.jpg,https://www.linkedin.com/company/mig-capital-ag/,http://www.mig.ag/en/,"We are a leading `venture capital` firm in Germany, targeting innovative `early to mid-stage` businesses.",,VC,"102 Ismaninger Straße, 81675 München, DE

+
−
Leaflet",,,,,,We invest in `deep tech` and `life science` `companies`.,3. Early Revenue; 4. Scaling; 5. Growth,Sometimes,,,,Austria; Canada; Denmark; Finland; France; Germany; Netherlands,,286,fund/MIG%20Capital,,,,,,
RBC Venture Partners,FALSE,./images/funds/recdE78NisDvZ0UIV.jpg,logos/RBC_Venture_Partners.jpg,https://www.linkedin.com/company/rbc-capital-markets/,http://www.rbc.com/vp,We are a venture capital and growth equity firm investing on behalf of the Royal Bank of Canada.,,Corporate VC,"Royal Bank Plaza, M5J 2W7 Toronto, Ontario, Ontario, CA

+
−
Leaflet",,,,,,We invest in a broad range of sectors.,3. Early Revenue; 4. Scaling; 5. Growth; 6. Pre-IPO,Sometimes,,,,Australia; Canada; Russia; UK; USA,,286,fund/RBC%20Venture%20Partners,,,,,,
Aligo Venture Capital,FALSE,./images/funds/recMpVIYXLQCWJ5zK.jpg,logos/Aligo_Venture_Capital.jpg,https://pl.linkedin.com/company/aligovc,https://aligo.vc/,We are a team of experienced professionals in the capital investment sector.,,VC,"ulica Skarszewska, 83-110 Tczew, Woj. Pomorskie, PL

+
−
Leaflet",,,,,,"We invest in biotechnology, energy, health care, and life science.",2. Prototype; 3. Early Revenue,Sometimes,,,,Poland; USA,,286,fund/Aligo%20Venture%20Capital,,,,,,
Qualgro VC,FALSE,./images/funds/recQkRGle5vJ8SW9j.jpg,logos/Qualgro_VC.jpg,https://www.linkedin.com/company/qualgro-partners/,http://www.qualgro.com,We are a venture capital firm specializing in Series A and Series B rounds for companies across Southeast Asia.,,VC,"160 Robinson Rd, Central Business District, Singapore

+
−
Leaflet",,,,,,"We invest in technology startups, with a focus on big data, software, and AI.",3. Early Revenue; 4. Scaling; 5. Growth,Sometimes,3000000,,min. $3M,Australia; Canada; France; India; Indonesia; Singapore; Sweden; Taiwan; USA; Vietnam,,286,fund/Qualgro%20VC,,,,,,
Aarin Capital,FALSE,./images/funds/recIWClhX9vNCuRtr.jpg,logos/Aarin_Capital.jpg,https://www.linkedin.com/company/aarin-capital,http://aarincapital.com,We are committed to generating long-term value through partnerships with management teams.,,VC,"3rd Floor, Grace Towers, 70 Millers Road, 560052 Bengaluru, Karnataka, Karnataka, IN

+
−
Leaflet",,,,,,We invest in wealth management.,3. Early Revenue; 4. Scaling; 5. Growth,Sometimes,,,,India; Singapore; USA,,286,fund/Aarin%20Capital,,,,,,
Homecoming Capital,FALSE,./images/funds/recwNSf9cH99j6GWQ.jpg,logos/Homecoming_Capital.jpg,https://www.linkedin.com/company/homecoming-capital,https://www.homecomingcapital.com/,We are dedicated to safeguarding our home planet through strategic investments.,,VC,"1016 Lincoln Blvd, 94129 San Francisco, California, California, US

+
−
Leaflet",,,,,,We invest in environmental impact initiatives.,3. Early Revenue; 4. Scaling,Sometimes,,,,USA,,286,fund/Homecoming%20Capital,,,,,,
FastForward,FALSE,./images/funds/recUL4zPilEiqvqI4.jpg,logos/FastForward.jpg,http://www.linkedin.com/company/2996292,https://www.leaders.ps/the-fastforward-accelerator-program/,We are an accelerator dedicated to supporting Palestinian startups.,,"Incubator, Accelerator","Ramallah, West Bank, Palestinian Territory",,,,,,We invest in startups participating in accelerator programs.,3. Early Revenue,,,,,China; Saudi Arabia; USA,,287,fund/FastForward,,,,,,
Wasabi Ventures,FALSE,./images/funds/recRhhUkt4dIG54Hc.jpg,logos/Wasabi_Ventures.jpg,http://www.linkedin.com/company/wasabi-ventures-llc,https://www.wasabivp.com,"We are an organization that actively plans, implements, and maintains solutions for various early-stage startups.",,VC,"Sunnyvale Blvd, Palo Alto, CA, California, US",,,,,,We invest in ventures that require incubator support and publishing solutions.,2. Prototype; 3. Early Revenue; 4. Scaling,Never,,,,USA,,287,fund/Wasabi%20Ventures,,,,,,
NTT DOCOMO Ventures,FALSE,./images/funds/recae2hLkr4xIZ3tx.jpg,logos/NTT_DOCOMO_Ventures.jpg,https://www.linkedin.com/company/nttdocomo-v/,https://www.nttdocomo-v.com,"We are a firm specializing in information technology, telecommunications, and content services.",,"Incubator, Accelerator","1-12-32 Akasaka, 107-6031 Minato-ku, Tokyo, JP

+
−
Leaflet",,,,,,"We invest in ICT, platform, robotics, telecom.",3. Early Revenue; 4. Scaling; 5. Growth; 6. Pre-IPO,,,,,Australia; Chile; France; Ireland; Israel; Japan; Malaysia; Singapore; Sweden; Thailand; UK; USA,,287,fund/NTT%20DOCOMO%20Ventures,,,,,,
Business Angels Club Berlin-Brandenburg e.V.,FALSE,./images/funds/recK1JkTyhBfTxhaO.jpg,logos/Business_Angels_Club_BerlinBrandenburg_eV.jpg,https://www.linkedin.com/company/bacb-de/,http://www.bacb.de,We are the official business angel association for Berlin and Brandenburg.,,Angel network,"Otto-Suhr-Allee 25, 10585 Berlin, DE

+
−
Leaflet",,,,,,We invest through our business angel association.,2. Prototype; 3. Early Revenue; 4. Scaling; 5. Growth,Never,,,,Germany; Nigeria; Russia; Spain; UK,,287,fund/Business%20Angels%20Club%20Berlin-Brandenburg%20e.V.,,,,,,
Gate Ventures Plc,FALSE,./images/funds/recWIbiQk4m2KxJNU.jpg,logos/Gate_Ventures_Plc.jpg,https://www.linkedin.com/company/gate-ventures-plc-aim-gate-,http://gateplc.com,"We are fostering growth across creative, commercial, and entertainment industries.",,VC,"London, England, United Kingdom",,,,,,"We invest in e-commerce, entertainment, media, music.",3. Early Revenue; 4. Scaling,Sometimes,,,,Singapore; UK; USA,,287,fund/Gate%20Ventures%20Plc,,,,,,
New Alliance Capital,FALSE,./images/funds/recil7nAAdeA6EOyJ.jpg,logos/New_Alliance_Capital.jpg,https://www.linkedin.com/company/new-alliance-capital/,http://www.nac-capital.com/,"We specialize in early, growth-stage, and pre-IPO investments.",,VC,"381 Huaihai Zhong Lu, Shanghai, CN

+
−
Leaflet",,,,,,"We invest in financial exchanges, fintech, and personal finance.",3. Early Revenue; 4. Scaling; 5. Growth,Sometimes,,,,China; Israel; USA,,287,fund/New%20Alliance%20Capital,,,,,,
Micelio Fund,FALSE,./images/funds/rechH6s7XZxZfhebF.jpg,logos/Micelio_Fund.jpg,https://www.linkedin.com/company/micelio-ev,https://www.micelio.com/,We are a seed fund solely dedicated to this area.,,VC,"No: 736, 15th Cross Rd, 6th Phase, KR Layout, JP Nagar Phase 6, J. P. Nagar, Bengaluru, Karnataka 560078, Bangalore, Karnataka, Karnataka, IN

+
−
Leaflet",,,,,,"We invest in clean mobility, focusing on areas like clean energy and electric vehicles.",2. Prototype; 3. Early Revenue,Sometimes,,,,India,,287,fund/Micelio%20Fund,,,,,,
Updata Partners,FALSE,./images/funds/recjjjyLiDs35MYed.jpg,logos/Updata_Partners.jpg,http://www.linkedin.com/company/updata-partners,http://www.updata.com,We are a firm that provides growth equity and operating expertise.,,VC,"2100 L St NW, 20037 Washington, District of Columbia, District of Columbia, US

+
−
Leaflet",,,,,,We invest in the next generation of software and technology leaders.,4. Scaling; 5. Growth; 6. Pre-IPO; 3. Early Revenue,Sometimes,,,,Australia; Canada; India; Netherlands; UK; USA,,288,fund/Updata%20Partners,,,,,,
Sofilaro,FALSE,./images/funds/recr7S0VzNjnzHSvF.jpg,logos/Sofilaro.jpg,https://www.linkedin.com/company/sofilaro-capital-investissement,https://www.sofilaro.fr,We are an investment division of Crédit Agricole S.A.,,VC,"621 rue Georges Méliès, 34000 Montpellier, Occitanie, Occitanie, FR

+
−
Leaflet",,,,,,"We invest in late venture, mature, and growth capital opportunities, including buyouts.",3. Early Revenue; 4. Scaling,Never,,,,France,,288,fund/Sofilaro,,,,,,
Kohlberg & Company,FALSE,./images/funds/reczCGEetcDZM5fGl.jpg,logos/Kohlberg__Company.jpg,https://www.linkedin.com/company/kohlberg-&-company,http://www.kohlberg.com,We are a middle market-focused private equity firm.,,PE fund,"111 Radio Circle Dr, 10549 Mount Kisco, NY, New York, US

+
−
Leaflet",,,,,,We invest in various market opportunities.,4. Scaling,Sometimes,,,,USA,,288,fund/Kohlberg%20%26%20Company,,,,,,
ThinkZone Ventures,FALSE,./images/funds/recCJ0QdjOdiplwiD.jpg,logos/ThinkZone_Ventures.jpg,https://www.linkedin.com/company/thinkzoneventures,http://thinkzone.vn,We are a Vietnam-based venture capital firm providing local resources.,,"Incubator, Accelerator","11th Floor, Twin Tower, 265 Cau Giay, Dich Vong, Hanoi, Vietnam, 100000 Hanoi, Hanoi, Hanoi, VN

+
−
Leaflet",,,,,,We invest in early-stage tech startups.,2. Prototype; 3. Early Revenue; 4. Scaling,,,,,Vietnam,,288,fund/ThinkZone%20Ventures,,,,,,
